Precio;M2;Balcon2;Amenities;cocinaSep;Monoambiente;A Estrenar;Patio PB;PB
75000;40;0;0;1;0;0;1;0
78000;54;1;0;1;0;0;0;0
74000;58;1;0;0;0;0;0;0
76000;36;0;0;0;0;0;0;0
67000;49;1;0;0;0;0;0;0
126000;54;1;0;0;0;0;0;0
59900;40;0;0;1;0;0;0;0
60000;48;0;0;1;0;0;0;0
55000;40;0;1;0;0;0;1;1
105000;55;1;1;1;0;0;0;0
102900;52;0;1;0;0;0;0;0
113000;67;1;1;0;0;0;0;0
82000;67;1;1;1;0;0;0;0
140000;45;1;1;0;0;1;0;0
102300;60;1;1;0;0;1;0;0
150000;65;1;1;0;0;0;0;0
124900;113;1;1;1;0;0;0;1
66000;45;1;1;1;0;0;0;0
98000;40;1;0;1;0;1;1;0
107000;82;1;0;0;0;1;0;0
75500;44;0;0;1;0;0;1;0
98000;91;0;1;0;0;0;1;1
102000;60;1;1;0;0;1;0;0
99000;50;0;1;0;0;1;0;0
79000;30;0;0;1;0;0;0;0
126000;71;1;1;0;0;0;0;0
100000;47;0;1;0;0;0;0;0
75000;45;0;0;0;0;0;0;0
76000;55;1;0;0;0;0;0;0
82000;60;1;0;1;0;0;0;0
125000;42;1;1;0;0;0;0;0
110000;44;1;0;1;0;1;0;0
143200;82;1;0;0;0;0;0;0
124000;63;1;1;0;0;0;0;0
95400;62;1;1;0;0;0;1;1
65000;36;0;0;1;0;0;0;0
55000;59;0;0;0;0;0;1;0
110000;53;1;0;1;0;0;0;0
99500;50;1;0;1;0;0;0;0
83000;34;0;0;0;0;0;0;0
70000;48;1;0;1;0;0;0;0
96500;52;1;0;0;0;1;0;0
154000;78;1;1;0;0;1;0;1
149000;112;1;1;0;0;0;0;0
110000;67;1;1;0;0;0;0;0
110000;52;1;1;0;0;1;0;0
95400;62;1;1;0;0;0;1;1
94500;60;1;1;0;0;0;0;0
102000;47;0;1;0;0;1;0;0
120000;58;1;1;0;0;1;0;1
179000;78;1;0;0;0;0;0;0
61950;46;0;0;0;0;1;0;0
75000;45;0;0;1;0;0;0;0
58900;45;0;0;0;0;1;0;0
85000;65;1;0;0;0;0;0;1
79000;30;0;0;1;0;1;0;0
161200;82;1;0;0;0;0;0;0
85000;65;1;0;0;0;0;0;1
77500;38;1;0;1;0;0;0;0
118420;64;0;0;0;0;0;0;0
115000;48;1;0;0;0;0;0;0
95000;60;1;1;0;0;0;0;0
102900;54;0;1;0;0;0;0;0
69000;35;0;0;1;0;0;0;0
94500;60;1;1;0;0;0;0;0
101500;64;1;0;0;0;0;0;0
80000;43;0;0;1;0;0;0;0
145000;80;1;1;0;0;0;0;0
71742;70;0;1;0;0;0;1;0
115000;50;1;0;1;0;0;0;0
77500;35;1;0;1;0;0;0;0
58900;45;0;0;0;0;1;0;0
75000;45;0;0;1;0;0;0;0
61950;46;0;0;0;0;1;0;0
132000;71;1;1;0;0;0;0;0
129000;57;1;0;1;0;0;0;0
86000;44;1;0;0;0;0;0;0
86000;58;0;1;0;0;0;1;1
110000;40;1;0;1;0;0;0;0
75000;57;1;0;0;0;0;0;0
60000;48;0;0;0;0;0;0;0
110000;51;0;0;1;0;0;0;0
76000;42;1;0;1;0;0;0;0
116500;59;0;0;0;0;1;0;0
99000;48;1;0;0;0;1;0;0
60900;49;0;0;0;0;1;0;0
90000;49;1;0;0;0;0;0;0
120000;50;1;1;1;0;0;0;0
92500;60;1;0;1;0;0;0;0
77500;38;1;0;1;0;0;0;0
115000;48;1;0;0;0;0;0;0
102000;60;1;1;0;0;1;0;0
115000;60;1;0;1;0;0;0;0
77500;35;1;0;1;0;0;0;0
115000;50;1;0;1;0;0;0;0
96000;60;1;1;0;0;1;0;0
132000;71;1;1;0;0;0;0;0
69000;45;1;1;1;0;0;0;0
118420;64;0;0;0;0;0;0;0
102900;54;0;1;0;0;0;0;0
68000;45;1;0;1;0;0;1;0
83000;34;0;0;0;0;0;0;0
68000;48;0;0;0;0;0;0;0
76000;42;1;0;1;0;0;0;0
110000;53;1;0;1;0;0;0;0
69000;35;0;0;1;0;0;0;0
80000;43;0;0;1;0;0;0;0
69000;38;1;1;1;0;0;0;0
116000;78;1;0;1;0;0;0;1
68000;45;0;0;0;0;0;0;0
67000;40;1;0;1;0;0;0;0
115000;46;1;1;0;0;0;1;0
62000;36;0;0;1;0;0;0;0
110000;46;1;1;0;0;1;0;0
87000;40;0;0;1;0;0;0;0
112000;52;1;1;0;0;1;0;0
77500;45;1;0;1;0;0;0;0
89000;75;0;0;1;0;0;1;1
72000;42;1;0;1;0;0;0;0
77000;38;1;0;1;0;0;0;0
69000;45;0;0;0;0;0;0;1
65000;31;0;0;0;0;0;0;0
118000;55;1;0;1;0;0;0;0
89000;91;0;0;1;0;0;0;0
125000;48;1;1;0;0;1;0;0
72000;40;1;0;0;0;0;0;0
153000;77;1;1;0;0;1;0;1
96000;63;1;0;0;0;0;0;0
85000;51;1;0;0;0;0;0;0
95000;80;1;0;1;0;0;0;0
68500;43;1;0;1;0;0;0;0
72000;33;0;0;1;0;0;0;0
62000;36;0;0;1;0;0;0;0
72000;37;1;0;0;0;0;0;0
75500;46;0;0;1;0;0;1;0
105000;52;1;1;0;0;0;0;0
160000;90;1;0;1;0;0;0;1
86000;47;1;1;1;0;0;1;0
170000;45;1;0;1;0;0;0;0
105000;81;1;0;0;0;0;0;1
57000;44;0;0;0;0;0;0;0
95000;38;0;0;0;0;0;0;0
84000;52;1;0;0;0;0;0;0
65000;29;1;0;1;0;0;0;0
79000;60;0;0;1;0;0;0;0
90000;50;0;0;1;0;0;0;0
85000;55;1;1;1;0;0;0;0
65000;51;0;0;0;0;0;0;0
62000;45;0;0;1;0;0;0;0
138000;100;1;1;1;0;0;0;1
64000;48;0;0;1;0;0;0;0
65000;52;1;0;0;0;0;0;0
89000;42;1;0;1;0;0;0;0
96200;60;1;1;0;0;0;0;0
170000;45;1;0;1;0;0;0;0
70000;40;0;0;0;0;0;1;0
89500;45;1;0;0;0;0;0;0
115000;45;1;0;0;0;1;0;0
77500;33;1;0;1;0;0;0;0
86000;47;1;1;1;0;0;1;0
79000;59;0;0;1;0;0;1;0
77000;38;1;0;1;0;0;0;0
72000;42;1;0;1;0;0;0;0
85000;49;1;1;1;0;0;0;0
96000;63;1;0;0;0;0;0;0
119956;43;0;1;0;0;0;0;0
89000;48;1;0;1;0;0;0;0
95000;80;1;0;1;0;0;0;0
86000;90;0;0;1;0;0;0;0
65000;52;1;0;0;0;0;0;0
73000;45;1;0;0;0;0;0;0
87000;40;0;0;1;0;0;0;0
68000;30;0;0;0;0;0;0;0
112000;50;0;1;1;0;0;0;0
65000;29;1;0;1;0;0;0;0
109000;42;1;0;0;0;1;0;0
115520;41;1;0;0;0;0;0;0
89000;55;0;0;1;0;0;1;1
72000;33;0;0;1;0;0;0;0
69000;42;0;0;1;0;0;0;0
62000;36;0;0;1;0;0;0;0
68500;43;1;0;1;0;0;0;0
77500;41;1;1;1;0;0;0;0
82000;43;1;0;0;0;1;0;0
85000;51;1;0;0;0;0;0;0
78000;43;1;0;0;1;0;0;0
73000;40;1;0;0;0;0;0;0
64000;48;0;0;1;0;0;0;0
105000;81;1;0;0;0;0;0;1
112000;52;1;1;0;0;1;0;0
88000;67;0;1;0;0;0;1;0
89000;75;0;0;1;0;0;1;1
77500;45;1;0;1;0;0;0;0
88000;53;1;0;0;0;0;0;0
118000;55;1;0;1;0;0;0;0
72000;39;1;0;0;0;0;0;0
72000;40;1;0;0;0;0;0;0
86000;36;0;0;0;0;0;0;0
75000;49;1;0;0;0;0;0;0
60000;64;0;0;1;0;0;0;0
85000;49;1;0;1;0;0;1;0
89000;48;1;0;0;0;0;0;0
85000;52;1;1;1;0;0;0;0
90000;50;0;0;1;0;0;0;0
72000;37;1;0;0;0;0;0;0
95000;38;0;0;0;0;0;0;0
88000;45;1;0;1;0;0;0;0
89000;35;0;0;0;0;0;0;0
138000;100;1;1;1;0;0;0;1
87000;50;1;0;1;0;0;0;0
80000;54;1;0;1;0;0;0;0
105000;52;1;1;0;0;0;0;0
118900;78;1;1;1;0;0;0;0
75000;42;1;0;1;0;0;0;0
65000;55;1;0;1;0;0;0;0
89500;45;1;0;0;0;0;0;0
75000;50;1;0;0;0;0;0;0
115000;46;1;1;0;0;0;1;0
62000;35;0;0;1;0;0;0;0
102000;60;1;0;0;0;1;0;1
65000;35;0;1;0;0;0;1;0
75000;58;0;0;1;0;0;1;0
57000;44;0;0;0;0;0;0;0
79500;50;1;1;1;0;0;0;0
85000;55;1;1;1;0;0;0;0
86000;60;0;1;0;0;1;1;0
110000;46;1;1;0;0;1;0;0
67000;40;1;0;1;0;0;0;0
84000;52;1;0;0;0;0;0;0
125000;67;1;0;1;0;0;0;0
62000;40;1;0;1;0;0;0;0
62000;36;0;0;1;0;0;0;0
110000;50;1;0;0;0;0;0;0
75500;45;0;0;1;0;0;1;0
59000;45;0;0;1;0;0;0;0
85000;48;0;0;1;0;0;0;0
114300;60;1;1;0;0;0;0;0
117100;58;1;1;0;0;0;0;0
77000;45;1;0;1;0;0;0;0
95000;45;1;0;0;0;1;0;0
112000;55;1;1;0;0;1;0;0
114000;59;1;1;0;0;0;0;1
169000;72;0;1;0;0;0;0;1
86000;58;1;1;0;0;1;1;1
87000;60;1;0;1;0;0;0;1
83000;55;1;0;1;0;0;0;0
135500;73;0;1;0;0;0;0;0
95000;54;0;0;0;0;0;0;0
67000;40;1;1;1;0;0;0;0
70000;45;1;0;0;0;0;1;0
75000;43;0;0;1;0;0;0;0
68000;35;0;0;0;0;0;0;0
98000;49;0;0;1;0;0;0;1
73000;40;1;0;1;0;0;0;0
68000;40;0;0;0;0;0;0;0
72000;40;1;0;1;0;0;0;0
69000;40;1;0;0;0;0;0;0
59000;47;1;0;0;0;0;0;0
108000;55;1;1;0;0;0;1;0
127000;40;0;0;1;0;1;0;0
91000;60;0;0;0;0;0;0;0
90000;45;1;1;0;0;1;0;1
64000;38;0;0;1;0;0;0;0
160000;50;1;1;1;0;0;0;0
113000;60;0;0;1;0;0;0;0
64000;40;0;0;1;0;0;0;0
87000;42;1;0;0;0;0;0;0
70000;45;0;0;1;0;0;0;0
68000;45;1;0;0;0;0;0;0
109600;50;1;1;1;0;1;0;0
62000;36;0;0;1;0;0;0;0
89200;91;0;1;1;0;1;1;1
78000;66;1;0;1;0;0;0;1
62000;45;0;1;1;0;0;0;0
120000;45;0;0;0;0;0;0;0
87500;40;0;0;0;0;0;0;0
73000;50;1;0;0;0;0;0;0
89000;59;1;0;1;0;0;0;0
130000;70;1;1;1;0;0;0;1
77500;38;1;0;1;0;0;0;0
128000;52;0;1;1;0;0;0;0
68000;36;0;0;0;0;0;0;0
78000;52;1;0;0;0;0;0;0
108300;47;1;1;0;0;0;0;0
65000;34;0;0;0;0;0;0;0
68000;44;0;0;0;0;0;0;0
75000;50;0;0;1;0;0;0;0
90000;45;1;1;0;0;1;0;1
74000;43;1;0;0;0;0;0;0
65000;26;0;0;0;0;0;0;0
70000;45;0;0;0;0;0;0;0
78900;45;1;0;0;0;0;0;0
64000;40;0;0;1;0;0;0;0
77500;41;1;0;1;0;0;0;0
62000;36;0;0;1;0;0;0;0
100000;47;1;1;0;0;1;0;0
63000;45;0;0;0;0;0;1;0
160000;80;0;1;1;0;0;0;0
112105;35;1;1;0;0;1;0;0
75000;318;0;0;1;0;0;1;1
109600;50;1;1;1;0;1;0;0
89000;55;1;0;1;0;0;0;0
75000;42;0;0;0;0;0;0;0
62000;30;0;0;1;0;0;0;0
73000;45;0;0;0;0;0;0;0
98000;92;0;1;0;0;0;1;0
112000;50;1;1;0;0;1;1;0
72000;55;1;1;0;0;0;0;0
89000;43;1;0;1;0;0;0;0
91300;58;0;1;0;0;1;1;0
80000;47;1;0;1;0;0;0;0
128000;115;0;1;0;0;1;0;1
77500;41;1;0;1;0;0;0;0
62000;40;0;0;1;0;0;0;0
61999;40;0;0;1;0;0;0;0
65000;43;1;0;1;0;0;1;0
75000;43;1;0;1;0;0;0;0
79300;40;1;0;1;0;0;0;0
64000;40;1;0;1;0;0;0;0
79000;42;1;0;1;0;0;0;0
79000;44;0;0;1;0;0;1;1
72000;39;1;0;1;0;0;0;0
97000;42;1;0;0;0;0;0;0
63000;43;1;0;0;0;0;0;0
72000;40;1;0;1;0;0;0;0
98000;43;1;1;0;0;0;0;1
59000;47;1;0;0;0;0;0;0
100500;47;1;1;0;0;0;0;0
108000;53;1;0;1;0;0;0;0
97000;45;0;0;1;0;0;0;0
62000;40;0;0;1;0;0;0;0
79000;35;0;0;0;0;0;0;0
75000;43;0;0;1;0;0;0;0
75000;58;0;0;1;0;0;1;0
90000;45;1;0;0;0;1;0;0
95000;45;1;0;0;0;0;0;0
69000;66;1;0;0;0;0;1;0
78900;45;1;0;0;0;0;0;0
63000;43;1;0;0;0;0;0;0
75000;58;0;0;1;0;0;1;0
87500;40;0;0;0;0;0;0;0
65000;50;1;0;0;0;0;0;0
68000;44;0;0;0;0;0;0;0
103000;53;1;0;1;0;0;0;0
48000;46;0;0;1;0;0;1;0
85000;44;1;1;1;0;0;1;0
75000;42;0;0;1;0;0;0;0
78000;52;1;0;0;0;0;0;0
63000;45;0;0;0;0;0;1;0
115000;50;0;1;1;0;1;0;0
160000;50;1;1;1;0;0;0;0
89200;91;0;1;1;0;1;1;1
75000;43;0;0;1;0;0;0;0
73000;40;1;0;1;0;0;0;0
69000;40;1;0;0;0;0;0;0
145000;55;1;1;0;0;1;0;0
95000;45;1;0;0;0;0;0;1
91000;44;1;0;0;0;0;0;0
58000;42;0;0;1;0;0;0;0
69000;42;1;0;1;0;0;0;0
64000;38;0;0;1;0;0;0;0
73000;45;0;0;0;0;0;0;0
62000;36;0;0;1;0;0;0;0
62000;40;0;0;1;0;0;0;0
142000;55;1;0;1;0;1;0;0
140000;42;1;1;0;0;1;0;0
86500;43;0;1;1;0;1;0;0
85000;45;1;0;1;0;0;1;0
62000;45;0;1;1;0;0;0;0
79000;44;0;0;1;0;0;1;1
128000;115;0;1;0;0;1;0;1
125000;55;0;0;1;0;1;0;0
98000;92;0;1;0;0;0;1;0
75000;43;1;0;1;0;0;0;0
65000;50;1;0;0;0;0;0;0
120000;45;0;0;0;0;0;0;0
110000;46;1;0;0;0;1;1;0
78000;66;1;0;1;0;0;0;1
55000;31;1;0;0;0;0;0;0
100500;60;1;1;0;0;1;1;1
65000;37;0;0;0;0;0;0;0
60000;60;0;0;0;0;0;0;0
65000;41;1;0;0;0;0;1;0
99000;40;1;1;0;0;1;0;0
99000;45;1;0;0;0;1;0;0
99800;60;0;0;0;0;0;0;0
88000;45;1;0;0;0;1;0;0
125000;55;1;0;0;0;0;0;0
94701;58;0;0;0;0;0;1;0
123803;56;0;0;1;0;0;1;0
92900;45;1;0;0;0;1;0;0
110954;51;0;1;0;0;0;0;0
85000;50;1;0;1;0;0;0;0
96000;60;1;1;0;0;1;0;0
70000;40;0;0;1;0;0;1;0
105000;45;1;0;1;0;1;0;0
115000;60;1;0;1;0;0;0;0
148900;57;0;1;0;0;0;0;0
87300;58;1;1;0;0;1;0;1
70000;40;0;0;1;0;0;1;0
119000;60;1;0;1;0;0;0;0
71500;44;0;0;0;0;0;0;0
126200;48;1;1;0;0;0;0;0
148900;57;0;1;0;0;0;0;0
102000;60;1;1;0;0;1;0;0
141300;68;1;1;1;0;0;0;0
94500;60;1;1;0;0;1;0;0
67000;44;0;0;0;0;0;0;0
110561;56;1;0;0;0;0;0;0
67000;44;0;0;0;0;0;0;0
99800;60;0;0;0;0;0;0;0
126200;48;1;1;0;0;0;0;0
82000;54;0;0;1;0;0;0;0
110954;51;0;1;0;0;0;0;0
125000;47;1;1;0;0;0;0;0
123803;56;0;0;1;0;0;1;0
94500;60;0;1;0;0;1;0;0
123360;65;1;0;1;0;0;0;0
118000;81;0;0;0;0;0;0;0
106200;60;1;0;0;0;0;0;1
88000;45;1;0;0;0;1;0;0
65000;32;0;0;0;0;0;0;0
62000;40;0;0;1;0;0;0;0
95000;66;1;0;1;0;0;0;0
100000;50;0;1;1;0;0;1;1
112010;65;1;0;1;0;0;0;0
75000;83;0;1;1;0;0;1;1
60000;210;1;0;0;0;0;0;0
82000;41;1;0;0;0;1;0;0
68700;43;1;0;1;0;0;0;0
100000;53;1;1;0;0;0;0;0
108800;60;1;0;1;0;1;0;0
68000;38;0;0;1;0;0;0;0
92000;42;1;0;1;0;0;0;0
55000;55;0;0;1;0;0;0;0
69000;50;0;0;0;0;0;0;0
108800;60;1;0;1;0;1;0;0
75000;44;0;0;1;0;0;1;1
87000;90;0;0;1;0;0;1;0
73000;50;0;0;0;0;1;0;0
59000;29;0;0;1;0;0;0;0
82500;43;1;0;1;0;0;0;0
114400;59;1;1;0;0;0;0;0
87000;54;1;0;1;0;0;0;0
110000;91;0;0;1;0;0;1;0
68000;30;0;0;0;0;0;0;0
90000;74;1;0;1;0;0;0;0
85000;60;1;0;1;0;0;0;0
115000;44;1;1;0;0;1;0;0
98000;58;1;1;1;0;1;0;0
72000;48;0;0;1;0;0;0;0
85000;55;1;1;0;0;0;0;0
98000;55;1;1;1;0;1;0;0
108000;50;1;0;1;0;0;0;0
88900;40;0;0;1;0;0;0;0
75000;50;0;0;1;0;0;1;1
86000;80;0;0;1;0;0;0;0
110000;44;1;0;0;0;1;1;0
89000;48;1;1;0;0;0;1;0
63000;45;1;0;0;0;0;0;0
105000;55;1;0;0;0;0;0;0
87000;50;1;0;1;0;0;0;0
69999;45;0;0;1;0;0;0;0
60000;55;1;0;1;0;0;0;0
70000;47;0;0;1;0;0;0;0
125000;48;0;1;1;0;0;0;0
105000;82;1;0;0;0;1;0;0
69000;35;0;0;0;0;0;0;0
75000;45;1;1;0;0;0;0;0
60000;210;1;0;0;0;0;0;0
108905;56;1;0;1;0;0;0;0
75000;40;1;0;0;0;0;0;0
121429;59;1;1;0;0;0;0;0
105000;48;1;0;1;0;0;0;0
78000;45;0;0;1;0;0;1;0
110000;50;1;1;0;0;0;0;0
105000;43;1;0;1;0;0;0;0
79000;40;1;0;1;0;0;0;0
85000;67;0;0;0;0;0;0;0
75000;45;1;1;0;0;0;0;0
85000;49;1;1;1;0;0;1;0
42000;45;0;0;0;0;0;0;0
65000;600;1;0;0;0;0;0;0
95000;66;1;0;1;0;0;0;0
72000;36;0;0;1;0;0;0;0
82000;58;1;1;1;0;0;0;0
68000;35;0;0;0;0;0;0;0
132000;45;1;1;0;0;1;0;0
130000;88;1;0;1;0;0;0;0
72000;44;1;0;0;0;0;0;0
82000;41;1;0;0;0;1;0;0
65000;40;1;0;0;0;0;1;0
90000;45;1;0;0;0;0;0;0
78000;48;0;1;0;0;0;0;0
84000;41;1;0;0;0;1;0;0
63000;33;0;0;0;0;0;1;0
135000;39;0;0;1;0;0;0;0
100000;50;0;1;1;0;0;1;1
125000;77;0;1;1;0;0;1;0
67000;39;0;0;1;0;0;0;0
65000;37;1;0;0;0;0;0;0
72000;40;0;1;1;0;0;0;0
69000;48;0;0;0;0;0;1;1
78000;40;0;0;0;0;0;0;0
75000;83;0;1;1;0;0;1;1
91999;48;1;0;0;0;0;0;0
69000;40;1;0;0;0;1;0;0
68000;31;0;0;0;0;0;0;0
106200;60;1;1;0;0;1;0;0
122000;59;1;1;0;0;0;0;0
58000;40;1;0;1;0;0;0;0
75000;40;1;1;1;0;0;0;1
135000;77;0;1;1;0;0;1;0
139700;58;1;1;0;0;0;0;0
70000;35;0;0;0;0;0;1;1
62000;40;0;0;1;0;0;0;0
77500;40;1;0;1;0;0;0;0
76000;43;0;0;1;0;0;0;0
85000;45;1;1;1;0;1;0;0
78000;55;1;0;0;0;0;0;0
76000;50;0;0;1;0;0;0;0
90000;51;0;1;1;0;0;0;0
75000;53;1;0;1;0;0;0;0
68000;43;0;0;0;0;0;0;0
75000;60;0;0;1;0;0;0;0
68000;43;0;0;0;0;0;0;0
85000;49;1;0;1;0;0;1;0
82500;43;1;0;1;0;0;0;0
72000;48;0;0;1;0;0;0;0
65000;37;1;0;0;0;0;0;0
60000;40;1;0;1;0;0;0;0
87500;45;0;0;1;0;0;0;0
84000;41;1;0;0;0;1;0;0
68000;43;0;0;0;0;0;0;0
110000;44;1;0;0;0;1;1;0
63900;45;1;0;0;0;0;0;0
65000;600;1;0;0;0;0;0;0
85000;60;1;0;1;0;0;0;0
75000;52;1;1;0;0;0;0;0
78000;48;0;1;0;0;0;0;0
62000;40;0;0;1;0;0;0;0
68900;40;0;0;0;0;1;0;0
78000;45;0;0;1;0;0;1;0
85000;45;1;1;1;0;1;0;0
75000;45;1;1;0;0;0;0;0
68000;31;0;0;0;0;0;0;0
58000;38;0;0;1;0;0;0;0
90000;53;1;0;1;0;0;0;0
85000;49;1;0;1;0;0;1;0
70000;45;1;0;0;0;0;0;0
72000;40;0;1;1;0;0;0;0
105000;43;1;0;1;0;0;0;0
95000;66;1;0;1;0;0;0;0
78000;300;0;0;1;0;0;0;0
85000;49;1;1;1;0;0;1;0
62000;34;1;1;1;0;0;0;0
82000;41;1;0;0;0;1;0;0
132000;45;1;1;0;0;1;0;0
92000;42;1;0;1;0;0;0;0
121000;45;1;1;0;0;1;1;0
75000;40;1;0;0;0;0;0;0
105000;82;1;0;0;0;1;0;0
60000;55;0;0;1;0;0;0;0
69000;35;0;0;0;0;0;0;0
78000;40;0;0;0;0;0;0;0
65000;47;0;0;1;0;0;0;0
73500;45;0;0;0;0;0;0;0
87000;50;1;0;1;0;0;0;0
79000;58;1;0;1;0;0;0;0
59000;29;0;0;1;0;0;0;0
98000;55;1;1;1;0;1;0;0
129400;59;1;1;0;0;0;0;0
100000;52;1;0;1;0;0;0;0
125000;53;1;1;0;0;0;0;0
68000;300;0;0;1;0;0;0;0
75000;42;1;0;1;0;0;0;0
63000;52;1;0;1;0;0;0;0
68900;40;0;0;0;0;1;0;0
62000;35;0;0;1;0;0;0;0
68700;43;1;0;1;0;0;0;0
108100;61;1;0;1;0;0;0;0
60000;55;0;0;1;0;0;0;0
65000;37;1;0;0;0;0;0;0
59000;45;0;0;1;0;0;0;0
87000;50;0;1;1;0;0;0;0
55000;46;0;0;1;0;0;0;0
70000;45;1;0;0;0;0;0;0
62000;34;1;1;1;0;0;0;0
114400;59;1;1;0;0;0;0;0
135000;39;0;0;1;0;0;0;0
75000;60;0;0;1;0;0;0;0
68000;38;0;0;1;0;0;0;0
89000;48;1;1;0;0;0;1;0
68000;43;0;0;0;0;0;0;0
69000;48;0;0;0;0;0;1;1
92000;70;0;0;0;0;0;1;0
87000;90;0;0;1;0;0;1;0
105000;50;1;0;0;0;0;0;0
88900;40;0;0;1;0;0;0;0
75000;40;1;1;1;0;1;0;0
61999;40;0;0;1;0;0;0;0
90000;51;0;1;1;0;0;0;0
68000;30;0;0;0;0;0;0;0
68000;45;0;0;0;0;0;0;0
70000;35;0;0;0;0;0;1;1
144000;42;1;0;1;0;0;0;0
75000;58;1;0;1;0;0;0;0
143000;59;1;1;1;0;0;0;0
65000;38;0;0;0;0;0;0;0
70000;300;0;0;1;0;0;0;0
93000;42;1;0;1;0;0;1;0
114300;50;1;1;1;0;0;1;1
90000;46;1;0;0;0;0;0;0
74000;40;0;0;1;0;0;0;0
160000;50;1;0;1;0;0;0;0
68000;50;1;0;1;0;0;0;0
84900;35;1;0;1;0;0;1;0
125000;64;0;1;0;0;1;0;0
