Precio,M2,Balcon2,Amenities,cocinaSep,Monoambiente,A Estrenar,Patio PB,PB,Precio_predicho,residuo,es_outlier,tipo_outlier
75000,40,0,0,1,0,0,1,0,71499.6,3500.4,False,normal
78000,54,1,0,1,0,0,0,0,86205.48,-8205.48,False,normal
74000,58,1,0,0,0,0,0,0,85566.4,-11566.4,False,normal
76000,36,0,0,0,0,0,0,0,75626.51,373.49,False,normal
67000,49,1,0,0,0,0,0,0,85421.75,-18421.75,False,normal
126000,54,1,0,0,0,0,0,0,85502.11,40497.89,False,normal
59900,40,0,0,1,0,0,0,0,76394.17,-16494.17,False,normal
60000,48,0,0,1,0,0,0,0,76522.74,-16522.74,False,normal
55000,40,0,1,0,0,0,1,1,97174.35,-42174.35,True,subvaluado
105000,55,1,1,1,0,0,0,0,106032.74,-1032.74,False,normal
102900,52,0,1,0,0,0,0,0,95694.85,7205.15,False,normal
113000,67,1,1,0,0,0,0,0,105522.24,7477.76,False,normal
82000,67,1,1,1,0,0,0,0,106225.6,-24225.6,False,normal
140000,45,1,1,0,0,1,0,0,111887.94,28112.06,False,normal
102300,60,1,1,0,0,1,0,0,112129.01,-9829.01,False,normal
150000,65,1,1,0,0,0,0,0,105490.09,44509.91,True,sobrevaluado
124900,113,1,1,1,0,0,0,1,113531.83,11368.17,False,normal
66000,45,1,1,1,0,0,0,0,105872.02,-39872.02,False,normal
98000,40,1,0,1,0,1,1,0,87805.19,10194.81,False,normal
107000,82,1,0,0,0,1,0,0,92671.4,14328.6,False,normal
75500,44,0,0,1,0,0,1,0,71563.89,3936.11,False,normal
98000,91,0,1,0,0,0,1,1,97994.01,5.99,False,normal
102000,60,1,1,0,0,1,0,0,112129.01,-10129.01,False,normal
99000,50,0,1,0,0,1,0,0,102381.99,-3381.99,False,normal
79000,30,0,0,1,0,0,0,0,76233.45,2766.55,False,normal
126000,71,1,1,0,0,0,0,0,105586.52,20413.48,False,normal
100000,47,0,1,0,0,0,0,0,95614.5,4385.5,False,normal
75000,45,0,0,0,0,0,0,0,75771.16,-771.16,False,normal
76000,55,1,0,0,0,0,0,0,85518.18,-9518.18,False,normal
82000,60,1,0,1,0,0,0,0,86301.91,-4301.91,False,normal
125000,42,1,1,0,0,0,0,0,105120.44,19879.56,False,normal
110000,44,1,0,1,0,1,0,0,92764.04,17235.96,False,normal
143200,82,1,0,0,0,0,0,0,85952.12,57247.88,True,sobrevaluado
124000,63,1,1,0,0,0,0,0,105457.95,18542.05,False,normal
95400,62,1,1,0,0,0,1,1,107114.24,-11714.24,False,normal
65000,36,0,0,1,0,0,0,0,76329.88,-11329.88,False,normal
55000,59,0,0,0,0,0,1,0,71101.6,-16101.6,False,normal
110000,53,1,0,1,0,0,0,0,86189.41,23810.59,False,normal
99500,50,1,0,1,0,0,0,0,86141.19,13358.81,False,normal
83000,34,0,0,0,0,0,0,0,75594.37,7405.63,False,normal
70000,48,1,0,1,0,0,0,0,86109.05,-16109.05,False,normal
96500,52,1,0,0,0,1,0,0,92189.25,4310.75,False,normal
154000,78,1,1,0,0,1,0,1,118985.23,35014.77,False,normal
149000,112,1,1,0,0,0,0,0,106245.46,42754.54,True,sobrevaluado
110000,67,1,1,0,0,0,0,0,105522.24,4477.76,False,normal
110000,52,1,1,0,0,1,0,0,112000.44,-2000.44,False,normal
95400,62,1,1,0,0,0,1,1,107114.24,-11714.24,False,normal
94500,60,1,1,0,0,0,0,0,105409.74,-10909.74,False,normal
102000,47,0,1,0,0,1,0,0,102333.78,-333.78,False,normal
120000,58,1,1,0,0,1,0,1,118663.79,1336.21,False,normal
179000,78,1,0,0,0,0,0,0,85887.83,93112.17,True,sobrevaluado
61950,46,0,0,0,0,1,0,0,82506.51,-20556.51,False,normal
75000,45,0,0,1,0,0,0,0,76474.53,-1474.53,False,normal
58900,45,0,0,0,0,1,0,0,82490.44,-23590.44,False,normal
85000,65,1,0,0,0,0,0,1,92245.82,-7245.82,False,normal
79000,30,0,0,1,0,1,0,0,82952.73,-3952.73,False,normal
161200,82,1,0,0,0,0,0,0,85952.12,75247.88,True,sobrevaluado
85000,65,1,0,0,0,0,0,1,92245.82,-7245.82,False,normal
77500,38,1,0,1,0,0,0,0,85948.33,-8448.33,False,normal
118420,64,0,0,0,0,0,0,0,76076.52,42343.48,True,sobrevaluado
115000,48,1,0,0,0,0,0,0,85405.68,29594.32,False,normal
95000,60,1,1,0,0,0,0,0,105409.74,-10409.74,False,normal
102900,54,0,1,0,0,0,0,0,95727.0,7173.0,False,normal
69000,35,0,0,1,0,0,0,0,76313.81,-7313.81,False,normal
94500,60,1,1,0,0,0,0,0,105409.74,-10909.74,False,normal
101500,64,1,0,0,0,0,0,0,85662.83,15837.17,False,normal
80000,43,0,0,1,0,0,0,0,76442.38,3557.62,False,normal
145000,80,1,1,0,0,0,0,0,105731.17,39268.83,False,normal
71742,70,0,1,0,0,0,1,0,91089.58,-19347.58,False,normal
115000,50,1,0,1,0,0,0,0,86141.19,28858.81,False,normal
77500,35,1,0,1,0,0,0,0,85900.11,-8400.11,False,normal
58900,45,0,0,0,0,1,0,0,82490.44,-23590.44,False,normal
75000,45,0,0,1,0,0,0,0,76474.53,-1474.53,False,normal
61950,46,0,0,0,0,1,0,0,82506.51,-20556.51,False,normal
132000,71,1,1,0,0,0,0,0,105586.52,26413.48,False,normal
129000,57,1,0,1,0,0,0,0,86253.69,42746.31,True,sobrevaluado
86000,44,1,0,0,0,0,0,0,85341.39,658.61,False,normal
86000,58,0,1,0,0,0,1,1,97463.64,-11463.64,False,normal
110000,40,1,0,1,0,0,0,0,85980.47,24019.53,False,normal
75000,57,1,0,0,0,0,0,0,85550.33,-10550.33,False,normal
60000,48,0,0,0,0,0,0,0,75819.37,-15819.37,False,normal
110000,51,0,0,1,0,0,0,0,76570.96,33429.04,False,normal
76000,42,1,0,1,0,0,0,0,86012.62,-10012.62,False,normal
116500,59,0,0,0,0,1,0,0,82715.44,33784.56,False,normal
99000,48,1,0,0,0,1,0,0,92124.96,6875.04,False,normal
60900,49,0,0,0,0,1,0,0,82554.73,-21654.73,False,normal
90000,49,1,0,0,0,0,0,0,85421.75,4578.25,False,normal
120000,50,1,1,1,0,0,0,0,105952.38,14047.62,False,normal
92500,60,1,0,1,0,0,0,0,86301.91,6198.09,False,normal
77500,38,1,0,1,0,0,0,0,85948.33,-8448.33,False,normal
115000,48,1,0,0,0,0,0,0,85405.68,29594.32,False,normal
102000,60,1,1,0,0,1,0,0,112129.01,-10129.01,False,normal
115000,60,1,0,1,0,0,0,0,86301.91,28698.09,False,normal
77500,35,1,0,1,0,0,0,0,85900.11,-8400.11,False,normal
115000,50,1,0,1,0,0,0,0,86141.19,28858.81,False,normal
96000,60,1,1,0,0,1,0,0,112129.01,-16129.01,False,normal
132000,71,1,1,0,0,0,0,0,105586.52,26413.48,False,normal
69000,45,1,1,1,0,0,0,0,105872.02,-36872.02,False,normal
118420,64,0,0,0,0,0,0,0,76076.52,42343.48,True,sobrevaluado
102900,54,0,1,0,0,0,0,0,95727.0,7173.0,False,normal
68000,45,1,0,1,0,0,1,0,81166.27,-13166.27,False,normal
83000,34,0,0,0,0,0,0,0,75594.37,7405.63,False,normal
68000,48,0,0,0,0,0,0,0,75819.37,-7819.37,False,normal
76000,42,1,0,1,0,0,0,0,86012.62,-10012.62,False,normal
110000,53,1,0,1,0,0,0,0,86189.41,23810.59,False,normal
69000,35,0,0,1,0,0,0,0,76313.81,-7313.81,False,normal
80000,43,0,0,1,0,0,0,0,76442.38,3557.62,False,normal
69000,38,1,1,1,0,0,0,0,105759.52,-36759.52,False,normal
116000,78,1,0,1,0,0,0,1,93158.12,22841.88,False,normal
68000,45,0,0,0,0,0,0,0,75771.16,-7771.16,False,normal
67000,40,1,0,1,0,0,0,0,85980.47,-18980.47,False,normal
115000,46,1,1,0,0,0,1,0,100290.17,14709.83,False,normal
62000,36,0,0,1,0,0,0,0,76329.88,-14329.88,False,normal
110000,46,1,1,0,0,1,0,0,111904.01,-1904.01,False,normal
87000,40,0,0,1,0,0,0,0,76394.17,10605.83,False,normal
112000,52,1,1,0,0,1,0,0,112000.44,-0.44,False,normal
77500,45,1,0,1,0,0,0,0,86060.83,-8560.83,False,normal
89000,75,0,0,1,0,0,1,1,78629.04,10370.96,False,normal
72000,42,1,0,1,0,0,0,0,86012.62,-14012.62,False,normal
77000,38,1,0,1,0,0,0,0,85948.33,-8948.33,False,normal
69000,45,0,0,0,0,0,0,1,82338.08,-13338.08,False,normal
65000,31,0,0,0,0,0,0,0,75546.16,-10546.16,False,normal
118000,55,1,0,1,0,0,0,0,86221.55,31778.45,False,normal
89000,91,0,0,1,0,0,0,0,77213.82,11786.18,False,normal
125000,48,1,1,0,0,1,0,0,111936.15,13063.85,False,normal
72000,40,1,0,0,0,0,0,0,85277.11,-13277.11,False,normal
153000,77,1,1,0,0,1,0,1,118969.16,34030.84,False,normal
96000,63,1,0,0,0,0,0,0,85646.76,10353.24,False,normal
85000,51,1,0,0,0,0,0,0,85453.9,-453.9,False,normal
95000,80,1,0,1,0,0,0,0,86623.34,8376.66,False,normal
68500,43,1,0,1,0,0,0,0,86028.69,-17528.69,False,normal
72000,33,0,0,1,0,0,0,0,76281.66,-4281.66,False,normal
62000,36,0,0,1,0,0,0,0,76329.88,-14329.88,False,normal
72000,37,1,0,0,0,0,0,0,85228.89,-13228.89,False,normal
75500,46,0,0,1,0,0,1,0,71596.03,3903.97,False,normal
105000,52,1,1,0,0,0,0,0,105281.16,-281.16,False,normal
160000,90,1,0,1,0,0,0,1,93350.98,66649.02,True,sobrevaluado
86000,47,1,1,1,0,0,1,0,101009.6,-15009.6,False,normal
170000,45,1,0,1,0,0,0,0,86060.83,83939.17,True,sobrevaluado
105000,81,1,0,0,0,0,0,1,92502.97,12497.03,False,normal
57000,44,0,0,0,0,0,0,0,75755.09,-18755.09,False,normal
95000,38,0,0,0,0,0,0,0,75658.66,19341.34,False,normal
84000,52,1,0,0,0,0,0,0,85469.97,-1469.97,False,normal
65000,29,1,0,1,0,0,0,0,85803.68,-20803.68,False,normal
79000,60,0,0,1,0,0,0,0,76715.6,2284.4,False,normal
90000,50,0,0,1,0,0,0,0,76554.88,13445.12,False,normal
85000,55,1,1,1,0,0,0,0,106032.74,-21032.74,False,normal
65000,51,0,0,0,0,0,0,0,75867.59,-10867.59,False,normal
62000,45,0,0,1,0,0,0,0,76474.53,-14474.53,False,normal
138000,100,1,1,1,0,0,0,1,113322.89,24677.11,False,normal
64000,48,0,0,1,0,0,0,0,76522.74,-12522.74,False,normal
65000,52,1,0,0,0,0,0,0,85469.97,-20469.97,False,normal
89000,42,1,0,1,0,0,0,0,86012.62,2987.38,False,normal
96200,60,1,1,0,0,0,0,0,105409.74,-9209.74,False,normal
170000,45,1,0,1,0,0,0,0,86060.83,83939.17,True,sobrevaluado
70000,40,0,0,0,0,0,1,0,70796.24,-796.24,False,normal
89500,45,1,0,0,0,0,0,0,85357.47,4142.53,False,normal
115000,45,1,0,0,0,1,0,0,92076.75,22923.25,False,normal
77500,33,1,0,1,0,0,0,0,85867.97,-8367.97,False,normal
86000,47,1,1,1,0,0,1,0,101009.6,-15009.6,False,normal
79000,59,0,0,1,0,0,1,0,71804.97,7195.03,False,normal
77000,38,1,0,1,0,0,0,0,85948.33,-8948.33,False,normal
72000,42,1,0,1,0,0,0,0,86012.62,-14012.62,False,normal
85000,49,1,1,1,0,0,0,0,105936.31,-20936.31,False,normal
96000,63,1,0,0,0,0,0,0,85646.76,10353.24,False,normal
119956,43,0,1,0,0,0,0,0,95550.21,24405.79,False,normal
89000,48,1,0,1,0,0,0,0,86109.05,2890.95,False,normal
95000,80,1,0,1,0,0,0,0,86623.34,8376.66,False,normal
86000,90,0,0,1,0,0,0,0,77197.75,8802.25,False,normal
65000,52,1,0,0,0,0,0,0,85469.97,-20469.97,False,normal
73000,45,1,0,0,0,0,0,0,85357.47,-12357.47,False,normal
87000,40,0,0,1,0,0,0,0,76394.17,10605.83,False,normal
68000,30,0,0,0,0,0,0,0,75530.08,-7530.08,False,normal
112000,50,0,1,1,0,0,0,0,96366.08,15633.92,False,normal
65000,29,1,0,1,0,0,0,0,85803.68,-20803.68,False,normal
109000,42,1,0,0,0,1,0,0,92028.53,16971.47,False,normal
115520,41,1,0,0,0,0,0,0,85293.18,30226.82,False,normal
89000,55,0,0,1,0,0,1,1,78307.6,10692.4,False,normal
72000,33,0,0,1,0,0,0,0,76281.66,-4281.66,False,normal
69000,42,0,0,1,0,0,0,0,76426.31,-7426.31,False,normal
62000,36,0,0,1,0,0,0,0,76329.88,-14329.88,False,normal
68500,43,1,0,1,0,0,0,0,86028.69,-17528.69,False,normal
77500,41,1,1,1,0,0,0,0,105807.74,-28307.74,False,normal
82000,43,1,0,0,0,1,0,0,92044.6,-10044.6,False,normal
85000,51,1,0,0,0,0,0,0,85453.9,-453.9,False,normal
78000,43,1,0,0,1,0,0,0,78000.0,0.0,False,normal
73000,40,1,0,0,0,0,0,0,85277.11,-12277.11,False,normal
64000,48,0,0,1,0,0,0,0,76522.74,-12522.74,False,normal
105000,81,1,0,0,0,0,0,1,92502.97,12497.03,False,normal
112000,52,1,1,0,0,1,0,0,112000.44,-0.44,False,normal
88000,67,0,1,0,0,0,1,0,91041.37,-3041.37,False,normal
89000,75,0,0,1,0,0,1,1,78629.04,10370.96,False,normal
77500,45,1,0,1,0,0,0,0,86060.83,-8560.83,False,normal
88000,53,1,0,0,0,0,0,0,85486.04,2513.96,False,normal
118000,55,1,0,1,0,0,0,0,86221.55,31778.45,False,normal
72000,39,1,0,0,0,0,0,0,85261.04,-13261.04,False,normal
72000,40,1,0,0,0,0,0,0,85277.11,-13277.11,False,normal
86000,36,0,0,0,0,0,0,0,75626.51,10373.49,False,normal
75000,49,1,0,0,0,0,0,0,85421.75,-10421.75,False,normal
60000,64,0,0,1,0,0,0,0,76779.89,-16779.89,False,normal
85000,49,1,0,1,0,0,1,0,81230.55,3769.45,False,normal
89000,48,1,0,0,0,0,0,0,85405.68,3594.32,False,normal
85000,52,1,1,1,0,0,0,0,105984.53,-20984.53,False,normal
90000,50,0,0,1,0,0,0,0,76554.88,13445.12,False,normal
72000,37,1,0,0,0,0,0,0,85228.89,-13228.89,False,normal
95000,38,0,0,0,0,0,0,0,75658.66,19341.34,False,normal
88000,45,1,0,1,0,0,0,0,86060.83,1939.17,False,normal
89000,35,0,0,0,0,0,0,0,75610.44,13389.56,False,normal
138000,100,1,1,1,0,0,0,1,113322.89,24677.11,False,normal
87000,50,1,0,1,0,0,0,0,86141.19,858.81,False,normal
80000,54,1,0,1,0,0,0,0,86205.48,-6205.48,False,normal
105000,52,1,1,0,0,0,0,0,105281.16,-281.16,False,normal
118900,78,1,1,1,0,0,0,0,106402.39,12497.61,False,normal
75000,42,1,0,1,0,0,0,0,86012.62,-11012.62,False,normal
65000,55,1,0,1,0,0,0,0,86221.55,-21221.55,False,normal
89500,45,1,0,0,0,0,0,0,85357.47,4142.53,False,normal
75000,50,1,0,0,0,0,0,0,85437.82,-10437.82,False,normal
115000,46,1,1,0,0,0,1,0,100290.17,14709.83,False,normal
62000,35,0,0,1,0,0,0,0,76313.81,-14313.81,False,normal
102000,60,1,0,0,0,1,0,1,98884.74,3115.26,False,normal
65000,35,0,1,0,0,0,1,0,90527.07,-25527.07,False,normal
75000,58,0,0,1,0,0,1,0,71788.89,3211.11,False,normal
57000,44,0,0,0,0,0,0,0,75755.09,-18755.09,False,normal
79500,50,1,1,1,0,0,0,0,105952.38,-26452.38,False,normal
85000,55,1,1,1,0,0,0,0,106032.74,-21032.74,False,normal
86000,60,0,1,0,0,1,1,0,97648.14,-11648.14,False,normal
110000,46,1,1,0,0,1,0,0,111904.01,-1904.01,False,normal
67000,40,1,0,1,0,0,0,0,85980.47,-18980.47,False,normal
84000,52,1,0,0,0,0,0,0,85469.97,-1469.97,False,normal
125000,67,1,0,1,0,0,0,0,86414.41,38585.59,False,normal
62000,40,1,0,1,0,0,0,0,85980.47,-23980.47,False,normal
62000,36,0,0,1,0,0,0,0,76329.88,-14329.88,False,normal
110000,50,1,0,0,0,0,0,0,85437.82,24562.18,False,normal
75500,45,0,0,1,0,0,1,0,71579.96,3920.04,False,normal
59000,45,0,0,1,0,0,0,0,76474.53,-17474.53,False,normal
85000,48,0,0,1,0,0,0,0,76522.74,8477.26,False,normal
114300,60,1,1,0,0,0,0,0,105409.74,8890.26,False,normal
117100,58,1,1,0,0,0,0,0,105377.59,11722.41,False,normal
77000,45,1,0,1,0,0,0,0,86060.83,-9060.83,False,normal
95000,45,1,0,0,0,1,0,0,92076.75,2923.25,False,normal
112000,55,1,1,0,0,1,0,0,112048.66,-48.66,False,normal
114000,59,1,1,0,0,0,0,1,111960.59,2039.41,False,normal
169000,72,0,1,0,0,0,0,1,102583.21,66416.79,True,sobrevaluado
86000,58,1,1,0,0,1,1,1,113769.23,-27769.23,False,normal
87000,60,1,0,1,0,0,0,1,92868.83,-5868.83,False,normal
83000,55,1,0,1,0,0,0,0,86221.55,-3221.55,False,normal
135500,73,0,1,0,0,0,0,0,96032.36,39467.64,False,normal
95000,54,0,0,0,0,0,0,0,75915.8,19084.2,False,normal
67000,40,1,1,1,0,0,0,0,105791.67,-38791.67,False,normal
70000,45,1,0,0,0,0,1,0,80462.9,-10462.9,False,normal
75000,43,0,0,1,0,0,0,0,76442.38,-1442.38,False,normal
68000,35,0,0,0,0,0,0,0,75610.44,-7610.44,False,normal
98000,49,0,0,1,0,0,0,1,83105.74,14894.26,False,normal
73000,40,1,0,1,0,0,0,0,85980.47,-12980.47,False,normal
68000,40,0,0,0,0,0,0,0,75690.8,-7690.8,False,normal
72000,40,1,0,1,0,0,0,0,85980.47,-13980.47,False,normal
69000,40,1,0,0,0,0,0,0,85277.11,-16277.11,False,normal
59000,47,1,0,0,0,0,0,0,85389.61,-26389.61,False,normal
108000,55,1,1,0,0,0,1,0,100434.81,7565.19,False,normal
127000,40,0,0,1,0,1,0,0,83113.45,43886.55,True,sobrevaluado
91000,60,0,0,0,0,0,0,0,76012.24,14987.76,False,normal
90000,45,1,1,0,0,1,0,1,118454.86,-28454.86,False,normal
64000,38,0,0,1,0,0,0,0,76362.02,-12362.02,False,normal
160000,50,1,1,1,0,0,0,0,105952.38,54047.62,True,sobrevaluado
113000,60,0,0,1,0,0,0,0,76715.6,36284.4,False,normal
64000,40,0,0,1,0,0,0,0,76394.17,-12394.17,False,normal
87000,42,1,0,0,0,0,0,0,85309.25,1690.75,False,normal
70000,45,0,0,1,0,0,0,0,76474.53,-6474.53,False,normal
68000,45,1,0,0,0,0,0,0,85357.47,-17357.47,False,normal
109600,50,1,1,1,0,1,0,0,112671.66,-3071.66,False,normal
62000,36,0,0,1,0,0,0,0,76329.88,-14329.88,False,normal
89200,91,0,1,1,0,1,1,1,105416.66,-16216.66,False,normal
78000,66,1,0,1,0,0,0,1,92965.26,-14965.26,False,normal
62000,45,0,1,1,0,0,0,0,96285.72,-34285.72,False,normal
120000,45,0,0,0,0,0,0,0,75771.16,44228.84,True,sobrevaluado
87500,40,0,0,0,0,0,0,0,75690.8,11809.2,False,normal
73000,50,1,0,0,0,0,0,0,85437.82,-12437.82,False,normal
89000,59,1,0,1,0,0,0,0,86285.84,2714.16,False,normal
130000,70,1,1,1,0,0,0,1,112840.74,17159.26,False,normal
77500,38,1,0,1,0,0,0,0,85948.33,-8448.33,False,normal
128000,52,0,1,1,0,0,0,0,96398.22,31601.78,False,normal
68000,36,0,0,0,0,0,0,0,75626.51,-7626.51,False,normal
78000,52,1,0,0,0,0,0,0,85469.97,-7469.97,False,normal
108300,47,1,1,0,0,0,0,0,105200.8,3099.2,False,normal
65000,34,0,0,0,0,0,0,0,75594.37,-10594.37,False,normal
68000,44,0,0,0,0,0,0,0,75755.09,-7755.09,False,normal
75000,50,0,0,1,0,0,0,0,76554.88,-1554.88,False,normal
90000,45,1,1,0,0,1,0,1,118454.86,-28454.86,False,normal
74000,43,1,0,0,0,0,0,0,85325.32,-11325.32,False,normal
65000,26,0,0,0,0,0,0,0,75465.8,-10465.8,False,normal
70000,45,0,0,0,0,0,0,0,75771.16,-5771.16,False,normal
78900,45,1,0,0,0,0,0,0,85357.47,-6457.47,False,normal
64000,40,0,0,1,0,0,0,0,76394.17,-12394.17,False,normal
77500,41,1,0,1,0,0,0,0,85996.54,-8496.54,False,normal
62000,36,0,0,1,0,0,0,0,76329.88,-14329.88,False,normal
100000,47,1,1,0,0,1,0,0,111920.08,-11920.08,False,normal
63000,45,0,0,0,0,0,1,0,70876.59,-7876.59,False,normal
160000,80,0,1,1,0,0,0,0,96848.23,63151.77,True,sobrevaluado
112105,35,1,1,0,0,1,0,0,111727.22,377.78,False,normal
75000,318,0,0,1,0,0,1,1,82534.47,-7534.47,False,normal
109600,50,1,1,1,0,1,0,0,112671.66,-3071.66,False,normal
89000,55,1,0,1,0,0,0,0,86221.55,2778.45,False,normal
75000,42,0,0,0,0,0,0,0,75722.94,-722.94,False,normal
62000,30,0,0,1,0,0,0,0,76233.45,-14233.45,False,normal
73000,45,0,0,0,0,0,0,0,75771.16,-2771.16,False,normal
98000,92,0,1,0,0,0,1,0,91443.16,6556.84,False,normal
112000,50,1,1,0,0,1,1,0,107073.73,4926.27,False,normal
72000,55,1,1,0,0,0,0,0,105329.38,-33329.38,False,normal
